Name, Small School,Medium School,Large School,City,Suburban,Town,Rural,Has Greek Life,Catholic,Methodist,Presbyterian,Jewish,Public,Has Student Government,Has a Football Team,Tech/Engineering School,LiberalArtsCollege
Amherst College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
Babson College,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
Barnard College,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Bates College,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Binghamton University,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No
Boston College,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
Boston University,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Brandeis University,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Brown University,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Bryn Mawr College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes
Bucknell College,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes
California Institute of Technology,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No
Carleton College,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
Carnegie Mellon University,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Case Western Reserve University,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Claremont McKenna College,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Colby College,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
Colgate University,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
College of the Holy Cross,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes
Colorado College,Yes,No,No ,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
